manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer,Name
Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0,Man Utd
Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0,Liverpool
Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m,Chelsea
Mikel Arteta,41,3.52 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m,Arsenal
Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k,Everton
Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0,Aston Villa
Marco Silva,45,1.31 Years,44,18,8,18,62,1.41,8,1.44875,419,0,Fulham
Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m,Tottenham
David Moyes,60,3.23 Years,57,27,8,22,89,1.56,8,1.2075,1051,€47k,West Ham
Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k,Man City
Shaun Maloney,40,0.37 Years,18,4,8,6,20,1.11,7,0.3385714285714286,37,€8.32m,Wigan
Alex Neil,42,1.50 Years,49,16,12,21,60,1.22,7,1.4342857142857142,443,0,Stoke City
Ian Evatt,41,1.70 Years,59,31,13,15,106,1.80,3,1.43,251,€225k,Bolton
John Mousinho,37,0.43 Years,23,10,9,4,39,1.70,1,1.7,23,0,Portsmouth
Jon Dahl Tomasson,46,0.97 Years,55,26,10,19,88,1.60,10,0.568,188,€15.60m,Blackburn
Tony Mowbray,59,2.06 Years,45,18,14,13,68,1.51,10,1.1400000000000001,822,€1.15m,Sunderland
Liam Rosenior,38,0.44 Years,41,15,16,10,61,1.49,8,0.40375,41,€1.98m,Hull City
Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k,Newcastle
Michael Carrick,41,0.35 Years,33,18,5,10,59,1.79,4,1.03,36,€31.30m,Middlesbrough
Carlos Corberán,40,0.98 Years,44,21,9,14,72,1.64,18,0.3622222222222222,169,0,West Brom
