manager_name,manager_age,manager_avarage_time,manager_matches,manager_wins,manager_draws,manager_losses,manager_points,manager_ppm,manager_teams_coached,manager_avarage_ppm,manager_total_matches,manager_total_transfer,Name
Frank Lampard,45,0.95 Years,34,5,8,21,23,0.68,5,0.966,196,€16.00m,Chelsea
Mikel Arteta,41,3.52 Years,49,32,7,10,103,2.10,3,0.6366666666666666,179,€26.70m,Arsenal
Erik ten Hag,53,2.14 Years,62,42,8,12,134,2.16,11,0.9181818181818183,499,0,Man Utd
Sean Dyche,51,3.22 Years,18,5,6,7,21,1.17,6,0.6466666666666666,492,€210k,Everton
Jürgen Klopp,56,7.35 Years,52,27,11,14,92,1.77,4,1.365,1018,0,Liverpool
Ian Evatt,41,1.70 Years,59,31,13,15,106,1.80,3,1.43,251,€225k,Bolton
Michael Carrick,41,0.35 Years,33,18,5,10,59,1.79,4,1.03,36,€31.30m,Middlesbrough
Pep Guardiola,52,3.75 Years,61,44,10,7,142,2.33,4,1.775,821,€651k,Man City
Ryan Mason,32,0.19 Years,6,2,1,3,7,1.17,10,0.288,13,€15.40m,Tottenham
Unai Emery,51,1.97 Years,44,26,7,11,85,1.93,10,1.583,853,0,Aston Villa
Dean Holden,43,0.35 Years,27,12,5,10,41,1.52,12,0.5691666666666667,83,0,Charlton
John Eustace,43,0.99 Years,50,15,12,23,57,1.14,7,0.30571428571428566,59,€375k,Birmingham
Marco Silva,45,1.31 Years,44,18,8,18,62,1.41,8,1.44875,419,0,Fulham
Eddie Howe,45,3.30 Years,46,25,14,7,89,1.93,4,1.58,617,€600k,Newcastle
Jon Dahl Tomasson,46,0.97 Years,55,26,10,19,88,1.60,10,0.568,188,€15.60m,Blackburn
John Mousinho,37,0.43 Years,23,10,9,4,39,1.70,1,1.7,23,0,Portsmouth
Carlos Corberán,40,0.98 Years,44,21,9,14,72,1.64,18,0.3622222222222222,169,0,West Brom
Roy Hodgson,75,1.80 Years,10,5,3,2,18,1.80,24,1.3995833333333334,856,0,Crystal Palace
David Wagner,51,1.70 Years,21,7,5,9,26,1.24,7,1.3242857142857143,471,0,Norwich
Rubén Sellés,40,0.20 Years,18,3,4,11,13,0.72,24,0.2683333333333333,18,0,Southampton
