income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,Name
€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Man Utd
€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Arsenal
€114.50m,€145.59m,€-31.09m,€145.59m,23.8,€194.90m,€114.50m,24.4,€163.70m,Leeds
€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Liverpool
€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Chelsea
€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Aston Villa
0,€6.06m,€-6.06m,€6.06m,21.8,€38.48m,0,25.1,€28.90m,Sunderland
€81.40m,€48.00m,+€33.40m,€48.00m,25.5,€67.40m,€81.40m,27.7,€67.85m,Leicester
€21.55m,€194.00m,€-172.45m,€194.00m,25.0,€157.00m,€21.55m,28.8,€61.75m,West Ham
€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Tottenham
€13.46m,€185.35m,€-171.89m,€185.35m,25.4,€149.20m,€13.46m,28.2,€52.20m,Newcastle
€26.90m,€10.23m,+€16.68m,€10.23m,25.0,€58.55m,€26.90m,25.9,€70.30m,Middlesbrough
€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Everton
€1.75m,0,+€1.75m,0,23.6,€9.90m,€1.75m,23.8,€15.25m,Coventry
€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Southampton
0,0,+-0,0,25.2,€13.70m,0,23.5,€24.30m,Derby
0,0,+-0,0,24.2,€5.20m,0,23.9,€2.98m,Bradford
€5.20m,€305k,+€4.90m,€305k,22.2,€6.58m,€5.20m,21.5,€6.60m,Wimbledon FC
0,€60k,€-60k,€60k,26.5,€9.05m,0,26.9,€10.30m,Sheff Wed
€60.83m,€18.81m,+€42.02m,€18.81m,24.7,€66.65m,€60.83m,27.0,€93.80m,Watford
