income,expenditure,balance,arrival_sum,arrival_age,arrival_mkt,derpature_sum,derpature_age,derpature_mkt,Name
€13.25m,€243.28m,€-230.03m,€243.28m,23.6,€282.60m,€13.25m,27.8,€187.75m,Man Utd
€54.00m,€100.14m,€-46.14m,€100.14m,25.7,€242.70m,€54.00m,26.1,€164.00m,Aston Villa
€4.07m,€14.40m,€-10.33m,€14.40m,22.9,€44.35m,€4.07m,24.1,€79.35m,Norwich
0,€1.75m,€-1.75m,€1.75m,22.1,€12.88m,0,24.3,€27.00m,Blackburn
€900k,0,+€900k,0,23.7,€24.80m,€900k,25.4,€24.15m,QPR
€80.70m,€137.30m,€-56.60m,€137.30m,21.6,€165.00m,€80.70m,24.9,€130.20m,Liverpool
0,€60k,€-60k,€60k,26.5,€9.05m,0,26.9,€10.30m,Sheff Wed
€38.75m,€177.90m,€-139.15m,€177.90m,24.7,€325.50m,€38.75m,24.2,€240.50m,Tottenham
€162.17m,€150.50m,+€11.67m,€150.50m,22.9,€363.15m,€162.17m,24.1,€295.65m,Man City
€23.80m,€192.36m,€-168.56m,€192.36m,24.2,€367.70m,€23.80m,25.4,€195.20m,Arsenal
€67.83m,€611.49m,€-543.66m,€611.49m,23.0,€551.80m,€67.83m,25.5,€391.30m,Chelsea
€5.20m,€305k,+€4.90m,€305k,22.2,€6.58m,€5.20m,21.5,€6.60m,Wimbledon FC
€103.60m,€78.20m,+€25.40m,€78.20m,25.1,€133.15m,€103.60m,27.1,€168.70m,Everton
0,€4.50m,€-4.50m,€4.50m,22.3,€24.13m,0,24.7,€32.85m,Sheff Utd
€1.75m,0,+€1.75m,0,23.6,€9.90m,€1.75m,23.8,€15.25m,Coventry
-1,-1,-1,-1,-1,-1,-1,-1,-1,Ipswich
€114.50m,€145.59m,€-31.09m,€145.59m,23.8,€194.90m,€114.50m,24.4,€163.70m,Leeds
€5.50m,€142.15m,€-136.65m,€142.15m,23.1,€151.50m,€5.50m,26.4,€72.60m,Southampton
-1,-1,-1,-1,-1,-1,-1,-1,-1,Oldham Athletic
€5.46m,€46.60m,€-41.15m,€46.60m,21.9,€61.50m,€5.46m,25.8,€32.80m,Crystal Palace
€26.90m,€10.23m,+€16.68m,€10.23m,25.0,€58.55m,€26.90m,25.9,€70.30m,Middlesbrough
€5.00m,€195.25m,€-190.25m,€195.25m,26.2,€310.40m,€5.00m,25.7,€77.65m,Nottm Forest
