Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Liverpool,38,32,3,3,85:33,52,99,1
Man City,38,26,3,9,102:35,67,81,2
Man Utd,38,18,12,8,66:36,30,66,3
Chelsea,38,20,6,12,69:54,15,66,4
Leicester,38,18,8,12,67:41,26,62,5
Tottenham,38,16,11,11,61:47,14,59,6
Wolves,38,15,14,9,51:40,11,59,7
Arsenal,38,14,14,10,56:48,8,56,8
Sheff Utd,38,14,12,12,39:39,0,54,9
Burnley,38,15,9,14,43:50,-7,54,10
Southampton,38,15,7,16,51:60,-9,52,11
Everton,38,13,10,15,44:56,-12,49,12
Newcastle,38,11,11,16,38:58,-20,44,13
Crystal Palace,38,11,10,17,31:50,-19,43,14
Brighton,38,9,14,15,39:54,-15,41,15
West Ham,38,10,9,19,49:62,-13,39,16
Aston Villa,38,9,8,21,41:67,-26,35,17
Bournemouth,38,9,7,22,40:65,-25,34,18
Watford,38,8,10,20,36:64,-28,34,19
Norwich,38,5,6,27,26:75,-49,21,20
