Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man Utd,38,25,7,6,73:35,38,82,1
Newcastle,38,24,6,8,66:37,29,78,2
Liverpool,38,20,11,7,70:34,36,71,3
Aston Villa,38,18,9,11,52:35,17,63,4
Arsenal,38,17,12,9,49:32,17,63,5
Everton,38,17,10,11,64:44,20,61,6
Blackburn,38,18,7,13,61:47,14,61,7
Tottenham,38,16,13,9,50:38,12,61,8
Nottm Forest,38,15,13,10,50:54,-4,58,9
West Ham,38,14,9,15,43:52,-9,51,10
Chelsea,38,12,14,12,46:44,2,50,11
Middlesbrough,38,11,10,17,35:50,-15,43,12
Leeds,38,12,7,19,40:57,-17,43,13
Wimbledon FC,38,10,11,17,55:70,-15,41,14
Sheff Wed,38,10,10,18,48:61,-13,40,15
Coventry,38,8,14,16,42:60,-18,38,16
Southampton,38,9,11,18,34:52,-18,38,17
Man City,38,9,11,18,33:58,-25,38,18
QPR,38,9,6,23,38:57,-19,33,19
Bolton,38,8,5,25,39:71,-32,29,20
