Name,Games,Wins,Draws,Losses,Goals,Balance,Points,Final Position
Man City,38,28,5,5,93:29,64,89,1
Man Utd,38,28,5,5,89:33,56,89,2
Arsenal,38,21,7,10,74:49,25,70,3
Tottenham,38,20,9,9,66:41,25,69,4
Newcastle,38,19,8,11,56:51,5,65,5
Chelsea,38,18,10,10,65:46,19,64,6
Everton,38,15,11,12,50:40,10,56,7
Liverpool,38,14,10,14,47:40,7,52,8
Fulham,38,14,10,14,48:51,-3,52,9
West Brom,38,13,8,17,45:52,-7,47,10
Swansea,38,12,11,15,44:51,-7,47,11
Norwich,38,12,11,15,52:66,-14,47,12
Sunderland,38,11,12,15,45:46,-1,45,13
Stoke City,38,11,12,15,36:53,-17,45,14
Wigan,38,11,10,17,42:62,-20,43,15
Aston Villa,38,7,17,14,37:53,-16,38,16
QPR,38,10,7,21,43:66,-23,37,17
Bolton,38,10,6,22,46:77,-31,36,18
Blackburn,38,8,7,23,48:78,-30,31,19
Wolves,38,5,10,23,40:82,-42,25,20
